AXIOMS Luce.abs_cyclicGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_cyclicGridKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_div_sub_div_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_gap_coefficient_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_integral_coefficient_mul_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_integral_sub_le_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_le_uniform: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_sub_prod_le_envelope: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_sub_prod_le_relative: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileD_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileF_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileGridKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_derivative_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_time_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_survivalKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_symmetricClip_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_symmetricClip_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor_ennreal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ae_tendsto_cyclicGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ae_tendsto_profileGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostCylinderProduct: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostOrderKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostPathSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostPredecessorSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostWindowVolume: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_cyclicGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_profileDiagonal_full: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_profileGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitoneOn_profileD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitone_bracket_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitone_uniform_convergence_in_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.approximatePermutationEdge_iff_oneBased: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.approximatePermutationPathCode_injective: [propext, Quot.sound]
AXIOMS Luce.approximatePermutationPath_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalAt_mem_Icc: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalAt_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalTime_lt_iff_clockBeforeCount: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalTime_strictMono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundRace_isProbability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundRace_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundSurvivors_eq_all: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundSurvivors_eq_erase: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.background_all_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.background_probability_eq_common: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_occupation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_probability_mul_le_intensity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeRank_probability_eq_intensity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeRank_probability_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulliLowerTailConstant_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_mean: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_second_moment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_second_moment_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_sum_eq_le_cutoff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_sum_lower_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_cycle_probability_le_ghost: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_cycle_probability_le_window: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_ghost_cycle_sum_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_marked_asymptotic_of_sorted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.card_removed_before_rank: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBand_mem_Icc: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_arrivalTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_background_at_self: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_compactDeletedClocks: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_dist_le_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_eq_candidate_add_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_eq_deleted_add_marked: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le_add_erase_self_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le_add_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_lt_of_clock_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_window_dist: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.comp_stepProfile_eq_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurePreserving: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactMarkedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.concentration_of_variance_tendsto_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_bernoulli_laplace: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history_of_representatives: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_normalized_bernoulli: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_eq_previous: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_le_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_compensator_coefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_cyclicDensityCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_intervalTestExtension: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileF: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileGapCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileH: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileQuantile: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_factorsThrough_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_meanSurvivors: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_pointMoment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_symmetricClip: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_weightedPointMeasure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countWindow_multiplicity_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cutoff_exponential_le_rpow: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_has_rankCylinder: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_period_real_probability_le_sum_cylinders: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycle_vertex_probability_le_ghost: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicCellStep_eq_of_mem: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicDeterministicSum_eq_kernelGridSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicLimitKernel_density_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_real_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileCell_unique: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_eq_volume: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileIntegral_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_injective_ae: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicProfileMeasure_restrict_bulk: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_eq_function_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclicRaceSum_of_nonpos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_ae_coordinates: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cyclic_array_truncation_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_eq_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedClockLabel_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_eq_count: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_gapUpper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalArrival_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemainingGe_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_gapLower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedEmpiricalRemaining_lower_of_reservoir: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_interval_measure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_eq_normalizedGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_marked_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapKernel_toReal_eq_exponentialGapMass: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedGapProduct_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletedPrefixLabels_card_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deleted_remaining_weak_strict_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deletion_subset: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_lower_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.denominator_replacement_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.deterministic_survival_fluctuation_converges: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.disjointCountTest_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.distinct_approximatePermutationPath_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_eq_comap_prefixVector: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawHistory_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.drawPermutation_eq_iff_strictMono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.draw_arrivalTime_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_ge: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.earlyBulkCylinderConstant_one_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_orderTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalArrival_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_ae_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemainingGe_sub_deleted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.empiricalRemaining_antitone: [propext, Classical.choice, Quot.sound]
