AXIOMS Luce.abs_cyclicGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_cyclicGridKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_div_sub_div_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_gap_coefficient_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_integral_coefficient_mul_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_integral_sub_le_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_le_uniform: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_sub_prod_le_envelope: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_prod_sub_prod_le_relative: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileD_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileF_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileGridKernel_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_profileGridKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_derivative_le_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_rateKernel_time_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_survivalKernel_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_symmetricClip_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.abs_symmetricClip_sub_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor_ennreal: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.added_predecessor_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ae_tendsto_cyclicGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.ae_tendsto_profileGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostCylinderProduct: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostOrderKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostPathSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostPredecessorSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aemeasurable_ghostWindowVolume: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_cyclicGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_earlyGhostKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_profileDiagonal_full: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.aestronglyMeasurable_profileGridKernel: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitoneOn_profileD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitone_bracket_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.antitone_uniform_convergence_in_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.approximatePermutationEdge_iff_oneBased: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.approximatePermutationPathCode_injective: [propext, Quot.sound]
AXIOMS Luce.approximatePermutationPath_count_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalAt_mem_Icc: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalAt_monotone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalTime_lt_iff_clockBeforeCount: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.arrivalTime_strictMono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundRace_isProbability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundRace_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundSurvivors_eq_all: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.backgroundSurvivors_eq_erase: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.background_all_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.background_probability_eq_common: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_occupation_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeCount_probability_mul_le_intensity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeRank_probability_eq_intensity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.beforeRank_probability_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulliLowerTailConstant_pos: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_block_lower_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_mean: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_second_moment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_likelihood_second_moment_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_sum_eq_le_cutoff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bernoulli_sum_lower_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.block_density_integral_factorization: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.block_endpoint_capacity: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.block_fixedPoint_expectation_eq: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_cycle_probability_le_ghost: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_cycle_probability_le_window: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_ghost_cycle_sum_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bounded_marked_asymptotic_of_sorted: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.buffer_exp_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bufferedShellExpCost_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bufferedShellQCost_le_of_small_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.buffered_exp_tail_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.buffered_finite_shell_sum_le_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulkCycleVectorPoissonLaw_probability: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulkCycleVectorPoissonLaw_real_singleton: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_count_sieve_expectation_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_count_le_total: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_count_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_first_moment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_intensity_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_intensity_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_point_indicator_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_point_indicator_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_point_probability_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_cycle_trace_integrable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_expectation_sub_le_tail: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_expectation_eq_cyclicRaceSum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_expectation_eq_rank_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_expectation_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_polynomial_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_tendsto_block_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_factorial_tendsto_canonical_block_integral: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_joint_factorial_moments: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_sieve_error_integral_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.bulk_sieve_remainder_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.canonical_block_integral_eq_intensity_product: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_block_density_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_candidate_density_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_exponent_lower: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_integral_bound: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_kernel_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.capacity_other_survivor_early: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.card_removed_before_rank: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.choose_mul_zero_indicator: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.choose_product_eq_factorial_ratio: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBand_mem_Icc: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_arrivalTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_background_at_self: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_compactDeletedClocks: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_dist_le_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_eq_candidate_add_background: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_eq_deleted_add_marked: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le_add_erase_self_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_le_add_of_eq_off: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_lt_of_clock_lt: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_mono: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockBeforeCount_window_dist: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockRank_le_iff: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_independent: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.clockSurvivalIndicator_zero_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.comp_stepProfile_eq_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_injective: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurable: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactDeletedClocks_measurePreserving: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.compactMarkedClocks_card: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.concentration_of_variance_tendsto_zero: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_bernoulli_laplace: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_finite_history_of_representatives: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.condExp_normalized_bernoulli: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_eq_previous: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_le_upper: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.consecutiveGapLower_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_compensator_coefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_cyclicDensityCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_intervalTestExtension: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileD: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileF: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileGapCoefficient: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileH: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuousOn_profileQuantile: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_factorsThrough_of_isInducing: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_meanSurvivors: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_pointMoment: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_symmetricClip: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.continuous_weightedPointMeasure: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countSieve_eq_factorial_sum: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countSieve_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countSieve_error_factorial: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countVectorSieve_error: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.countWindow_multiplicity_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.count_sieve_series_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.count_vector_sieve_series_limit: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cutoff_exponential_le_rpow: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cutoff_le_terminalShellTime: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleCountVector_apply: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleCountVector_raceDraw_eq_rank: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleInteriorCutoff_lt_one: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleInteriorCutoff_tendsto: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleTailExpectation_antitone: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleTailExpectation_limit_of_small: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleTailExpectation_nonneg: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleTailExpectation_zero_le: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleTraceIntensity_eq_manuscript: [propext, Classical.choice, Quot.sound]
AXIOMS Luce.cycleVectorPoissonLaw_probability: [propext, Classical.choice, Quot.sound]
