'Luce.bulk_sieve_remainder_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_sieve_error_integral_le' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.factorial_remainder_tendsto_zero' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.limitingSieveRemainder_tendsto_zero' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.count_sieve_series_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.count_vector_sieve_series_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.tendsto_of_finite_approximation' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_cycle_point_indicator_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.measurable_race_permutation_statistic' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_cycle_point_indicator_integral' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulkCycleVectorPoissonLaw_real_singleton' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_cycle_point_probability_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
