'Luce.zeroCountSieve_succ' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.zeroCountSieve_zero' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.zeroCountSieve_error' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.choose_mul_zero_indicator' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.countSieve_error' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.choose_product_eq_factorial_ratio' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.countSieve_eq_factorial_sum' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.countSieve_error_factorial' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.countVectorSieve_error' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_factorial_polynomial_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.bulk_count_sieve_expectation_limit' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
