'Luce.ghost_subwindow_density' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.lateGhostEntry_eq_window_integral' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_return_sum_eq_integral' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_ordered_pairs_le_common_cutoff' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.terminalShellNumber_eq_of_mem' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_terminal_source_bound' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_interior_source_bound' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.finite_cover_sum_le' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_retained_pairs_bound' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.integrable_late_return_product' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.late_retained_expectation_bound' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.eventually_exterior_shellNumber' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
'Luce.tendsto_interior_late_error' depends on axioms: [propext, Classical.choice.{u}, Quot.sound.{u}]
