
Algorithm Hash                                                             Path
--------- ----                                                             ----
SHA256    D57FF3F436ECAB0A36B84F47E65A5FED6B69030BDF97FE9770457A68AC3B3CAC D:\princeton\Research\Lean\Lean_luce\Luce\Assumptions.lean
SHA256    162E29701F639D717C86E323D6F3B846187D67A0E883CED129CE14615A8CEEC3 D:\princeton\Research\Lean\Lean_luce\Luce\DrawHistory.lean
SHA256    64C1A4A3230AD691B6A219A32904252AC658BFCC97F9F102324942C807D2621A D:\princeton\Research\Lean\Lean_luce\Luce\DrawHistoryPermutation.lean
SHA256    38C1B5007FBDD6E968BF9F723E155ADCC5AB300B94DDD39F4C8FD696153C2A08 D:\princeton\Research\Lean\Lean_luce\Luce\EmpiricalRace.lean
SHA256    1B35F0E029CCD21A7983CCA278775B7AD641CE6D49EF4CF3EDB38A05DFC5D9EE D:\princeton\Research\Lean\Lean_luce\Luce\ExponentialFacts.lean
SHA256    0288D0783F63B04A915888B722DFEC531B300F7F0C6FFD9BF52CF719D2B3593C D:\princeton\Research\Lean\Lean_luce\Luce\ExponentialMemoryless.lean
SHA256    0C27E957672601C21420BF9ACFA88C461F21D8E3DA11A1AE796C61F0A258D1AA D:\princeton\Research\Lean\Lean_luce\Luce\ExponentialRace.lean
SHA256    47FCC5F16DA78F061AC3BED2648139783DD3BC131510A8746B8452A816371771 D:\princeton\Research\Lean\Lean_luce\Luce\FirstChoice.lean
SHA256    25E3D461B625263A3F53828DF71E5354B6BAB26493193825B4ABE5E06D7696DA D:\princeton\Research\Lean\Lean_luce\Luce\HistoryAtoms.lean
SHA256    F30950A442481F43F1E59D824E4A72F761E5ADE9162732D0EF5444A13AA6A9BA D:\princeton\Research\Lean\Lean_luce\Luce\Interior.lean
SHA256    BEBA8E069E8975BEFE84A787CE664D44595907DF92A6F25172F08AEECA14D459 D:\princeton\Research\Lean\Lean_luce\Luce\LuceMassRecursion.lean
SHA256    B69BBD003A34D301BD286E02C032474DEC64A4F761A1398BE4FCB056D873BCAB D:\princeton\Research\Lean\Lean_luce\Luce\LuceNextDraw.lean
SHA256    6495922F9BB4EAB0698365D7EC75C11ACD45F64DA636C4918FC31C220627155E D:\princeton\Research\Lean\Lean_luce\Luce\LucePrefixMass.lean
SHA256    ED11BAA9D29C8AE597DCFB96D5281FBBAD7B262F56997B9A718BA4FD77870887 D:\princeton\Research\Lean\Lean_luce\Luce\LucePrefixRecursion.lean
SHA256    88C1F916942723613B882F58186E782C09C552D1B8EB7A2E41740DD29648C707 D:\princeton\Research\Lean\Lean_luce\Luce\LucePrefixTransition.lean
SHA256    36319EEC3EF7D96B6800401EE097C311FED8AEA39C3D874710F08BA070BEE6EF D:\princeton\Research\Lean\Lean_luce\Luce\Model.lean
SHA256    09438CFB8A7A5333A64471DFE060401AACAB1E6A5EBB59DD16F87E38D6839CC7 D:\princeton\Research\Lean\Lean_luce\Luce\Profile.lean
SHA256    804F6749E2DF0796ED1C37CBAD0B01F7BBB46820D850256132A25D6D785A54A4 D:\princeton\Research\Lean\Lean_luce\Luce\ProfileRegularity.lean
SHA256    FB165B52D91D19C53E3371621D45C585569C1D86363D20DBED6EE0B643B61A47 D:\princeton\Research\Lean\Lean_luce\Luce\RaceConvergence.lean
SHA256    15B3A90443D0C4D68CC4896BDECDC078DCB01734A0E06DC74FA617E0234FF522 D:\princeton\Research\Lean\Lean_luce\Luce\RaceOrder.lean
SHA256    9BF3DF9F1CC09C2BF77A8979AAB38F933AD4BFCBC29FF17E5223B3E7C49D9F1F D:\princeton\Research\Lean\Lean_luce\Luce\RankIntegral.lean
SHA256    B82D314D065095F4BE3068DE7E5918B98A61B70F61F5483BC785E1B94CAE2D8E D:\princeton\Research\Lean\Lean_luce\Luce\RankProbability.lean
SHA256    5655FEF434ECC7F227A37CF0C0D8822137D0B0C3D0955F65D71A2126E7F0DB66 D:\princeton\Research\Lean\Lean_luce\Luce\Section3Mean.lean
SHA256    D41506B22046D95346489E8CF797012003A3DA4D771436788F59BE7FB46C1A71 D:\princeton\Research\Lean\Lean_luce\Luce\Section3OrderStats.lean
SHA256    543E2D42EBE9138A4DE6928D2626DC3786B9CA8636A3B5474BC5B34D6B135005 D:\princeton\Research\Lean\Lean_luce\Luce\Section3Probability.lean
SHA256    429E6C8458F5EA174F64C9E2C14CAC8E90B77120D6E7076530D56D923A6F78BC D:\princeton\Research\Lean\Lean_luce\Luce\Section3Profile.lean
